N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,10,33.47454651730772
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,10,33.792242249845785
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,10,38.46057909867602
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,10,32.71409857157195
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,10,31.45432350442593
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,10,39.973872180927025
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,10,33.870427421517334
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,10,38.74157500103072
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,10,37.41026929822297
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,10,41.656355702297546
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,10,41.66178712322329
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,10,35.757109924817165
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,10,31.36736971856601
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,10,37.88788680894389
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,10,40.55438176815432
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,10,37.82273154071914
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,10,33.778813917387566
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,10,36.23929374900314
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,10,37.704558197790924
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,10,42.67946301557192
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,10,40.3856626221006
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,10,42.10734154873616
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,10,41.421369612795964
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,10,36.62102249744505
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,10,33.05615111964299
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,10,39.16776566565157
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,10,41.4645385964585
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,10,38.073865830059574
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,10,41.095786275974916
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,10,42.967303848792625
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,10,38.081222444152885
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,10,35.91361427318863
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,10,32.54419641135281
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,10,44.169719893912365
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,10,32.28862368643739
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,10,43.56487958363233
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,10,30.17020802572229
